Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase/Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase/Sales
05-08-2008,2529.43,3253.92,-724.49,1344.41,734.9,609.51
07-08-2008,1873.67,2199.94,-326.27,863.73,436.46,427.27
08-08-2008,1947.8,2090.02,-142.22,846.77,830.48,16.29
09-08-2008,3155.98,2902.55,253.43,805.68,938.3,-132.62
10-08-2008,3016.37,4071.88,-1055.51,2060.01,976.45,1083.56
12-08-2008,1670.12,1319.78,350.34,619.06,1236.11,-617.05
13-08-2008,1712.37,2627.95,-915.58,892.39,666.27,226.12
14-08-2008,1752.94,2326.92,-573.98,812.05,788.73,23.32
18-08-2008,1682.95,2158.45,-475.5,633.35,504.44,128.91
19-08-2008,1146.65,1863,-716.35,500.74,486.18,14.56
20-08-2008,1724.89,2172.23,-447.34,575.42,369.82,205.6
21-08-2008,1165.72,1711.43,-545.71,757.15,412.26,344.89
22-08-2008,1624.02,1863.26,-239.24,858.77,408.38,450.39
25-08-2008,1289.21,1226.29,62.92,538.85,442.59,96.26
26-08-2008,1418.91,1990.95,-572.04,764.89,487.97,276.92
27-08-2008,1751.75,1784.24,-32.49,757.28,594.01,163.27
28-08-2008,3306.44,3493.63,-187.19,1260.3,869.68,390.62
29-08-2008,2598.5,2963.11,-364.61,975.75,694.68,281.07
01-09-2008,4465.9,4857.93,-392.03,1206,1120.49,85.51
04-09-2008,2039.54,2346.81,-307.27,1049.51,573.7,475.81
05-09-2008,3304.2,3923.54,-619.34,1261.4,1081.24,180.16
06-09-2008,2546.86,3891.53,-1344.67,1842.1,811.84,1030.26
07-09-2008,2501.15,2936.69,-435.54,825.04,685.82,139.22
09-09-2008,1748.71,2140.24,-391.53,774.31,668.04,106.27
15-09-2008,2470.6,3233.62,-763.02,1921.85,593.71,1328.14
16-09-2008,3071.9,4375.31,-1303.41,1368.69,756.33,612.36
17-09-2008,3578.68,4642.85,-1064.17,1433.38,484.45,948.93
18-09-2008,6870.52,8072.16,-1201.64,1849.8,657.6,1192.2
19-09-2008,6609.58,5593.4,1016.18,1360.13,1316.22,43.91
22-09-2008,3194,3055.79,138.21,811.29,1017.41,-206.12
23-09-2008,1928.93,2853.33,-924.4,811.74,742.97,68.77
24-09-2008,3352.72,3847.12,-494.4,1037.16,866.98,170.18
25-09-2008,4223.52,5273.9,-1050.38,1496.58,890.99,605.59
26-09-2008,2731.7,3374.74,-643.04,1223.46,679.89,543.57
29-09-2008,3392.16,3869.1,-476.94,1338.58,783.76,554.82
30-09-2008,4122.69,4108.53,14.16,1250.43,856.32,394.11
01-10-2008,4104.09,4357.43,-253.34,1751.98,1363.25,388.73
03-10-2008,4333.84,5581.88,-1248.04,1878.29,1119.5,758.79
04-10-2008,2532.8,2995.14,-462.34,1286.24,691.76,594.48
06-10-2008,3310.16,4220.32,-910.16,1473.2,1176.81,296.39
07-10-2008,1896.89,2448.56,-551.67,562.1,674.56,-112.46
09-10-2008,2546.92,3584.2,-1037.28,1173.15,680.59,492.56
10-10-2008,3880.08,6393.82,-2513.74,2841.44,1096.76,1744.68
